SMILES,LOAEL
OCC(C1OC(=O)C(=C1O)O)O,-3.4844
OCC(C1OC(=O)C(=C1O)O)O,-3.1915
CC(c1ccccc1)C,-2.6646
CC(c1ccccc1)C,-2.5198
CCc1ccccc1,-2.6107
CCc1ccccc1,-2.4639
OCCO,-2.3979
OCCO,-2.6021
OCCO,-3.301
OCCO,-2.9638
OCCO,-3.0
C=Cc1ccccc1,-1.3222
C=Cc1ccccc1,-2.4548
C=Cc1ccccc1,-2.6021
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,-1.5051
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,0.60206
COCN(c1c(CC)cccc1CC)C(=O)CCl,-1.1761
COCN(c1c(CC)cccc1CC)C(=O)CCl,-1.1461
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.4437
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,-0.35218
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,-0.41162
O=C(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,-1.3979
O=C(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,-2.0569
ClC(C(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl)Cl,-1.0792
ClC(C(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl)Cl,-1.1761
CNC(=O)Oc1cccc2c1cccc2,-1.1931
CNC(=O)Oc1cccc2c1cccc2,-1.7782
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.56864
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.30103
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,-0.77815
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.60206
Nc1ccc(cc1)Cl,-0.77815
Nc1ccc(cc1)Cl,-1.0969
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.09691
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,-0.23045
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,-2.699
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,-1.0
OC(=O)C(Cl)(Cl)C,-1.4498
OC(=O)C(Cl)(Cl)C,-1.699
ClCCl,-1.699
ClCCl,-1.7208
COP(=O)(OC=C(Cl)Cl)OC,-0.36173
COP(=O)(OC=C(Cl)Cl)OC,-0.33244
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,-1.301
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,-0.39794
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,1.301
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.90309
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,1.0
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.60206
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,-0.90309
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,-0.89209
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,-0.8451
CNC(=O)CSP(=S)(OC)OC,0.60206
CNC(=O)CSP(=S)(OC)OC,-0.69897
c1ccc(cc1)Nc1ccccc1,-1.4914
c1ccc(cc1)Nc1ccccc1,-1.3979
c1ccn2c(c1)c1ccccn1CC2,0.23657
c1ccn2c(c1)c1ccccn1CC2,0.24413
CCSCCSP(=S)(OCC)OCC,1.0
CCSCCSP(=S)(OCC)OCC,1.3979
CCSCCSP(=S)(OCC)OCC,0.65758
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,-0.77815
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,-0.79588
ClCCP(=O)(O)O,-2.1761
ClCCP(=O)(O)O,-2.6493
ClCCP(=O)(O)O,-1.0792
Cn1cc(c2cccc(c2)C(F)(F)F)c(=O)c(c1)c1ccccc1,-1.3979
Cn1cc(c2cccc(c2)C(F)(F)F)c(=O)c(c1)c1ccccc1,-1.5119
CCP(=S)(Sc1ccccc1)OCC,-0.19866
CCP(=S)(Sc1ccccc1)OCC,-0.69897
