SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
ClC12C3C4(C(C1(Cl)Cl)(C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1.9566e-05,0.0014217916687719956,0.625
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,2.7404e-05,0.002387671183307973,0.4375
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013611,0.03806504214723742,0.7272727272727273
Clc1ccc2c(c1)[n+]([O-])nc(n2)n1cncc1,0.00020191,0.044090771816319076,0.18181818181818182
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647,0.037229670092100806,0.6521739130434783
CCOP(=S)(SCSC(C)(C)C)OCC,0.00027736000000000004,0.004010065596865467,0.5454545454545454
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.00028896749999999995,0.001107636536884408,0.5
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.000295345,0.002061537057415606,0.5
CCSCCSP(=S)(OCC)OCC,0.00036443,0.0045393269903714764,0.5
CNC(=O)ON=CC(SC)(C)C,0.00052559,0.058837247552187444,0.35294117647058826
COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,0.00058619,0.05432467306381369,0.4230769230769231
CCSCSP(=S)(OCC)OCC,0.00061449,0.0033397489227135033,0.5454545454545454
OC1CCCCCc2cc(O)cc(c2C(=O)OC(CCC1)C)O,0.00062036,1.0415534190320412,0.17391304347826086
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.000843785,0.0003704141467113901,0.4375
c1ccc(cc1)[Sn](c1ccccc1)c1ccccc1,0.00085711,0.5799160071304471,0.16666666666666666
CCOP(=O)(SC(CC)C)SC(CC)C,0.000872805,0.004760493760561179,0.46153846153846156
CCS(=O)CCSP(=O)(OC)OC,0.00089328,0.0014369137370621636,0.29411764705882354
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.000939545,0.0013512631119732106,0.375
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,0.00094982,0.011744057540543631,0.6428571428571429
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,0.0010183,0.10771356141815085,0.4
CNC(=O)CSP(=S)(OC)OC,0.0010905,0.008598461399213199,0.2222222222222222
COP(=O)(SCCS(=O)(=O)CC)OC,0.0011438,0.001174623533543087,0.3125
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(CC)C)C)OC(C1OC1CC(OC)C(C(O1)C)O)C.COC1CC(OC(C1OC1CC(OC)C(C(O1)C)O)C)OC1C(C)C=CC=C2COC3C2(O)C(C=C(C3O)C)C(=O)OC2CC(CC=C1C)OC1(C2)C=CC(C(O1)C(C)C)C,0.0011546,0.007054323504366715,0.7818181818181819
ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.0012831,6.240058509303287e-05,0.625
CCOP(=O)(N1CCSC1=O)SC(CC)C,0.0013411,0.0038585508271398753,0.3
O=C1CCCC(=O)C1C(=O)c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C,0.0014146,0.05033510609279159,0.5652173913043478
CCOP(=S)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,0.0014476,0.18419594508462586,0.18518518518518517
CCSCCSP(=O)(OC)OC,0.0015199,0.0006881676103681019,0.5
CCOc1cc(nc(n1)CC)OP(=S)(OC)OC,0.0015396,0.009344152008287343,0.25
COC(=O)C=C(OP(=O)(OC)OC)C,0.0015615,0.0389551912110335,0.4117647058823529
COC(=O)/C=C(/OP(=O)(OC)OC)\C,0.0015615,0.0389551912110335,0.4117647058823529
OC(=O)c1ccccc1.CCC(C1OC2(C=CC1C)OC1CC=C(C)C(OC3CC(OC)C(C(O3)C)OC3CC(OC)C(C(O3)C)NC)C(C)C=CC=C3C4(C(C(=O)OC(C2)C1)C=C(C)C(C4OC3)O)O)C,0.001735715,0.0052556798450402575,0.6666666666666666
C1CCC(CC1)[Sn](n1ncnc1)(C1CCCCC1)C1CCCCC1,0.001811,0.019031415342926475,0.16666666666666666
ClC1C2(Cl)C3C4C5C1(Cl)C(C2(Cl)C5C3C1C4O1)(Cl)Cl,0.0018377,0.00020147518780410848,0.25
CNC(=O)CCSCCSP(=O)(OC)OC,0.0018793,0.0018784603475727084,0.5
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(C)C)C)OC(C1OC1CC(OC)C(C(O1)C)NC(=O)C)C,0.00194425,0.00328366904754266,0.7818181818181819
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)[C@H](C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.0019884,0.041294408404920935,0.7
CNC(=O)C=C(OP(=O)(OC)OC)C,0.0020165,0.008469783810754087,0.4117647058823529
COP(=O)(SC)N,0.0020549,0.07267302761993463,0.13333333333333333
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,0.0020896,0.026979255422540108,0.6875
CSc1ccc(cc1C)OP(=S)(OC)OC,0.00210185,0.008124789971744695,0.45
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)C=CC=C3CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](CC=C2C)O[C@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,0.0022907,0.00368614048659253,0.20238095238095238
O=C1CCCC(=O)C1C(=O)c1ccc(c(c1Cl)COCC(F)(F)F)S(=O)(=O)C,0.0023819,0.011091431540013933,0.56
S=C1NCCN1,0.0024472,0.08174796252599273,0.5
COC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.0026615,0.018004455580709268,0.6521739130434783
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,0.0029166,0.021604427320382473,0.42857142857142855
C1CCN2C(C1)C1CCCCN1CC2,0.0029591,0.19526026520942552,0.2222222222222222
Fc1ccc(cc1)N(C(=O)COc1nnc(s1)C(F)(F)F)C(C)C,0.0033028,0.04118632979409073,0.2608695652173913
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.0033631,0.008074684367671859,0.34782608695652173
CNC(=O)Oc1cccc2c1OC(O2)(C)C,0.0035838,0.11630958446837812,0.5625
O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,0.0036089,0.181701157295069,0.16666666666666666
CCc1nn(c(c1Cl)C(=O)NCc1ccc(cc1)Oc1ccc(cc1)C)C,0.0039076,0.060230460463752904,0.6521739130434783
CCCCSP(=O)(SCCCC)SCCCC,0.0039744,0.0789063518664207,0.15384615384615385
CCOP(=S)(Oc1ncn(n1)c1ccccc1)OCC,0.0041492,0.019637365584442474,0.3333333333333333
CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,0.0041717,0.05294316778589058,1
CCOP(=O)(O/C(=C/Cl)/c1ccc(cc1Cl)Cl)OCC,0.0041717,0.06607547835269201,1
Clc1nc(nc(n1)Cl)Nc1ccccc1Cl,0.0041739,0.09183472702855526,0.23529411764705882
Clc1cccc(n1)C(Cl)(Cl)Cl,0.0043308,0.27185317319515523,0.1875
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,0.0045112,0.053435210957522385,0.5185185185185185
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.00471335,0.015501877833941077,0.25
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)/C=C(/c1ccc(cc1)Cl)\Cl,0.0048983,0.04459040451562867,0.65625
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0.0049418,0.004893159818397271,0.5454545454545454
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.0049447,0.006118512671781111,0.391304347826087
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.004971,0.040912231886444037,0.7
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,0.0051933,0.040882885937719944,0.6153846153846154
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,0.0056016,0.09684939846922258,0.5882352941176471
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,0.00620095,0.00860126423017877,0.6875
COC(=O)Nc1nc2c([nH]1)cc(cc2)S(=O)c1ccccc1,0.0063422,0.12174528763091433,0.5909090909090909
ClCC(N1C(=O)c2c(C1=O)cccc2)SP(=S)(OCC)OCC,0.0063477,0.019671612356886217,0.35
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)OCC,0.0067295,0.01161096345621582,0.6428571428571429
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,0.0067479,0.059178319133560156,0.4166666666666667
CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C,0.0067481,0.07352889469821947,0.5714285714285714
COC(=O)N(C(=O)N1COC2(C(=N1)c1ccc(cc1C2)Cl)C(=O)OC)c1ccc(cc1)OC(F)(F)F,0.0068203,0.06931602375986566,0.2
CCNc1nc(Cl)nc(n1)NC(C)(C)C,0.0069218,0.05400383479836238,0.7272727272727273
CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,0.0070384,0.02183407608640509,0.5625
Cc1nn(c(c1/C=N/OCc1ccc(cc1)C(=O)OC(C)(C)C)Oc1ccccc1)C,0.0071176,0.15203639951418757,1
Cc1nn(c(c1C=NOCc1ccc(cc1)C(=O)OC(C)(C)C)Oc1ccccc1)C,0.0073074,0.1259366799298983,1
Clc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.0075484,0.06273401881903051,0.7647058823529411
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.0076105,0.018647702399605684,0.25
Fc1ccc(cc1)[Si](c1ccc(cc1)F)Cn1cncn1,0.0076575,0.04182859278304638,0.5625
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,0.00781875,0.05376847646263247,0.7391304347826086
Fc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.007943,0.04353688114760683,0.7647058823529411
N#Cc1nn(c(c1S(=O)CC)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.0080563,0.007735482971000493,0.7272727272727273
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,0.0081878,0.011238266231223978,0.30434782608695654
Clc1ccc(cc1)OS(=O)(=O)c1ccc(cc1)Cl,0.0082464,0.0612015458451966,0.3
Clc1cc(cnc1Nc1c(cc(c(c1[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,0.008299399999999998,0.05829755270422516,0.28
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,0.0088055,0.07979769003811252,0.625
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)C,0.00885585,0.045008849186345214,0.5
CSC(=O)c1c(nc(c(c1CC(C)C)C(=O)SC)C(F)(F)F)C(F)F,0.009043,0.14075242906006835,0.4074074074074074
Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,0.0091362,0.0637893211408319,0.44
CCCN(C(=O)SCc1ccccc1)CCC,0.0091492,0.10294469177718764,0.42857142857142855
CON(C(=O)Nc1ccc(cc1)Cl)C,0.0093175,0.0514139683899487,0.7857142857142857
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1F)C#N)C,0.0096257,0.03948122955129882,0.41935483870967744
N#C/N=C\1/SCCN1Cc1ccc(nc1)Cl,0.0098922,0.0810819364697864,0.47619047619047616
Cc1c(ccc(c1C1=NOCC1)S(=O)(=O)C)C(=O)c1cnn(c1O)C,0.0099068,0.01738277677599439,0.3235294117647059
CC1(C)CNC(=NC1)NN=C(C=Cc1ccc(cc1)C(F)(F)F)C=Cc1ccc(cc1)C(F)(F)F,0.0099095,0.0778640745530814,0.5454545454545454
COP(=O)(OC=C(Cl)Cl)OC,0.0100688,0.012690525889265763,0.25
CCCSP(=O)(SCCC)OCC,0.010069,0.0024443935181155557,0.46153846153846156
FC(c1ccc(cc1)C=CC(=NN=C1NCC(CN1)(C)C)C=Cc1ccc(cc1)C(F)(F)F)(F)F,0.010112,0.0637570664808276,0.5454545454545454
CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1,0.010656,0.1859458636933644,0.4
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1c(F)c(F)c(c(c1F)F)C,0.010986,0.04303493639260044,1
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,0.011824,0.07361762240710984,0.56
