SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
ClC12C3C4(C(C1(Cl)Cl)(C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1.9566e-05,0.0018377000000000018,0.25
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,2.7404e-05,0.001291721255127229,1
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013611,0.01266290172948335,1
Clc1ccc2c(c1)[n+]([O-])nc(n2)n1cncc1,0.00020191,0.04452057535910419,1
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647,0.012353952024790952,1
CCOP(=S)(SCSC(C)(C)C)OCC,0.00027736000000000004,0.003912319652872025,1
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.00028896749999999995,0.0007124710122354402,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.000295345,0.00020148548332822786,1
CCSCCSP(=S)(OCC)OCC,0.00036443,0.002479025960626162,1
CNC(=O)ON=CC(SC)(C)C,0.00052559,0.05719488141259865,1
COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,0.00058619,0.11670708140762617,1
CCSCSP(=S)(OCC)OCC,0.00061449,0.0008962496537916937,1
OC1CCCCCc2cc(O)cc(c2C(=O)OC(CCC1)C)O,0.00062036,0.46407564001892226,1
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.000843785,0.0002446319009718216,1
c1ccc(cc1)[Sn](c1ccccc1)c1ccccc1,0.00085711,0.4582721595810513,1
CCOP(=O)(SC(CC)C)SC(CC)C,0.000872805,0.01247660917708954,1
CCS(=O)CCSP(=O)(OC)OC,0.00089328,0.0016027297178080409,1
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.000939545,0.0003282100247208412,1
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,0.00094982,0.02595721700355286,1
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,0.0010183,0.08780541800732805,1
CNC(=O)CSP(=S)(OC)OC,0.0010905,0.009515127939063844,1
COP(=O)(SCCS(=O)(=O)CC)OC,0.0011438,0.0016027297178080409,1
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(CC)C)C)OC(C1OC1CC(OC)C(C(O1)C)O)C.COC1CC(OC(C1OC1CC(OC)C(C(O1)C)O)C)OC1C(C)C=CC=C2COC3C2(O)C(C=C(C3O)C)C(=O)OC2CC(CC=C1C)OC1(C2)C=CC(C(O1)C(C)C)C,0.0011546,0.004452708028277983,1
ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.0012831,0.0018376999999999998,0.21428571428571427
CCOP(=O)(N1CCSC1=O)SC(CC)C,0.0013411,0.13650963743101127,1
O=C1CCCC(=O)C1C(=O)c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C,0.0014146,0.015088846606844258,1
CCOP(=S)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,0.0014476,0.15170104041664476,1
CCSCCSP(=O)(OC)OC,0.0015199,0.0008432099438716096,1
CCOc1cc(nc(n1)CC)OP(=S)(OC)OC,0.0015396,0.023660512174966182,1
COC(=O)C=C(OP(=O)(OC)OC)C,0.0015615,0.0023812687906506857,1
COC(=O)/C=C(/OP(=O)(OC)OC)\C,0.0015615,0.002081528804995513,1
OC(=O)c1ccccc1.CCC(C1OC2(C=CC1C)OC1CC=C(C)C(OC3CC(OC)C(C(O3)C)OC3CC(OC)C(C(O3)C)NC)C(C)C=CC=C3C4(C(C(=O)OC(C2)C1)C=C(C)C(C4OC3)O)O)C,0.001735715,0.0017196076009231745,1
C1CCC(CC1)[Sn](n1ncnc1)(C1CCCCC1)C1CCCCC1,0.001811,0.007147190221049201,1
ClC1C2(Cl)C3C4C5C1(Cl)C(C2(Cl)C5C3C1C4O1)(Cl)Cl,0.0018377,0.00017075213457395932,1
CNC(=O)CCSCCSP(=O)(OC)OC,0.0018793,0.0033386848364462857,1
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(C)C)C)OC(C1OC1CC(OC)C(C(O1)C)NC(=O)C)C,0.00194425,0.001646537166266416,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)[C@H](C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.0019884,0.00633638005051865,1
CNC(=O)C=C(OP(=O)(OC)OC)C,0.0020165,0.007274526885190497,1
COP(=O)(SC)N,0.0020549,0.33146588454802073,1
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,0.0020896,0.020207547632267724,1
CSc1ccc(cc1C)OP(=S)(OC)OC,0.00210185,0.015315732687291136,1
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)C=CC=C3CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](CC=C2C)O[C@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,0.0022907,0.011583598135897934,1
O=C1CCCC(=O)C1C(=O)c1ccc(c(c1Cl)COCC(F)(F)F)S(=O)(=O)C,0.0023819,0.01161082890621692,1
S=C1NCCN1,0.0024472,0.12298076673290073,1
COC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.0026615,0.0001899031773236392,1
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,0.0029166,0.007040322537353415,1
C1CCN2C(C1)C1CCCCN1CC2,0.0029591,0.14662384480405752,1
Fc1ccc(cc1)N(C(=O)COc1nnc(s1)C(F)(F)F)C(C)C,0.0033028,0.06386465246867795,1
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.0033631,0.021460885004789175,1
CNC(=O)Oc1cccc2c1OC(O2)(C)C,0.0035838,0.11368917232194076,1
O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,0.0036089,0.2530228410823332,1
CCc1nn(c(c1Cl)C(=O)NCc1ccc(cc1)Oc1ccc(cc1)C)C,0.0039076,0.026303374046670085,1
CCCCSP(=O)(SCCCC)SCCCC,0.0039744,0.12041582513564118,1
CCOP(=S)(Oc1ncn(n1)c1ccccc1)OCC,0.0041492,0.01847095454548987,1
CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,0.0041717,0.018461477952369756,1
CCOP(=O)(O/C(=C/Cl)/c1ccc(cc1Cl)Cl)OCC,0.0041717,0.009379841017851992,1
Clc1nc(nc(n1)Cl)Nc1ccccc1Cl,0.0041739,0.08123357705211397,1
Clc1cccc(n1)C(Cl)(Cl)Cl,0.0043308,0.2937201288867553,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,0.0045112,0.050781170812224614,1
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.00471335,0.0098233419774848,1
