SMILES,LOAEL_measured_median,LOAEL_predicted,Prediction_interval_low,Prediction_interval_high,Warnings
OCC(CCl)O,-1.2029392782396509,1.28425735093239,,,T
CCOC(=O)c1ccccc1C1=c2cc(C)c(cc2=[O]c2c1cc(C)c(c2)NCC)NCC,-1.0300038028086096,1.5677685143097857,-2.088423556286081,0.028415950668861933,T
OCC(CO)O,-0.9174305571518012,-1.8735472827377653,-2.197163642318525,0.36230252801492246,T
CCCCCCCCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-0.8791358426704262,-1.2234180569052944,-2.2707621807643,0.5124904954234474,T
CCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-0.855375733073645,-1.2981322917796099,-2.5675712312573484,0.8568197651100583,T
CCOC(=O)c1ccccc1C(=O)OCC,-0.8271174537927537,-1.300073495267144,-1.6594175509492013,0.005182643363693895,F
CCOP(=S)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,-0.805185508371467,2.839351425563838,,,T
O=C1OC(=O)c2c1cccc2,-0.5847014321589338,-0.9031171295488665,-1.70286209630217,0.5334592319843025,T
CCCOC(=O)c1ccc(cn1)C(=O)OCCC,-0.5806434820637667,0.00221620394895718,-1.6708969453909284,0.509609981263395,T
CCCCOCC(OCC(O)C)C,-0.5396752634927362,0.17218502835569832,-1.7487530381151484,0.669402511129676,T
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.5213709725293568,-0.1774499209718248,-1.6636048651172963,0.6208629200585826,T
CN1N(C)C(CC1c1ccccc1)c1ccccc1,-0.5116530784822512,0.3050966001866355,-0.7465546222658089,-0.2767515346986934,T
Oc1ccccc1,-0.4779446047611714,-0.5629111450476486,-1.671579803247469,0.7156905937251262,T
CC(Cc1ccccc1)N,-0.4630812832205287,1.4320213492988039,-1.2459910689905778,0.3198285025495204,T
CCCCCCCCCC[N+](CCCCCCCCCC)(C)C.[Cl-],-0.44525401373342016,0.7526160071097443,-1.191343501872077,0.30083547440523667,F
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,-0.444391118239584,-0.8280021578068849,,,T
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,-0.44400739492334823,0.6716023589026847,-1.8155120000058176,0.927497210159121,T
C[N]1(C)CCCCC1,-0.4064220974052243,-0.11839701195157529,-1.8635941529534819,1.050749958143033,F
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,-0.4063501723295747,-0.6072297750805989,-2.441918745351916,1.6292184006927664,T
Oc1ccc2c(c1N=Nc1ccccc1)ccc(c2)S(=O)(=O)O,-0.3739306543827652,0.26105304667829976,-0.9888205221131535,0.24095921334762316,T
COC(=O)c1ccccc1C(=O)OC,-0.3736224410903095,-1.0128372247051722,-1.8250285519374434,1.0777836697568244,F
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-0.3678747211179077,0.29065370490612896,-2.377396377683075,1.6416469354472598,T
CCCOC(=O)c1cc(O)c(c(c1)O)O,-0.3600656572142355,-0.6097651056927426,-1.451327055714127,0.7311957412856558,T
COC(=O)c1ccc(cc1)C(=O)OC,-0.3513250742583122,0.19130299738850176,-1.8460513807394028,1.1434012322227782,T
CCCOC(=O)c1ccc(cc1)O,-0.3452881332449543,-0.9203372888854956,-1.5086004987944772,0.8180242323045688,T
COC(=O)c1ccc(cc1)O,-0.3447025418315001,-0.9938284615355355,-1.4391291478353192,0.7497240641723188,F
CCN(C(=O)C(Oc1cccc2c1cccc2)C)CC,-0.3248306791260763,0.5949156754237579,-1.1121091712508473,0.46244781299869464,T
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,-0.32479126183604307,0.08181233864107436,-0.9624001283148649,0.3128176046427788,T
COC(=O)c1ccc(cc1C1=NC(C(=O)N1)(C)C(C)C)C,-0.2968615176674922,0.7609258617641064,-1.8879117984608769,1.2941887631258924,T
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.2718170740024642,-0.3335681749239878,-2.2720310799424888,1.7283969319375605,F
Cc1cnc2c(c1)ccc(c2C(=O)O)Cl,-0.254406037002516,-0.5235904048292048,,,T
COc1ccc(c(c1)OC)N,-0.2405454739961448,-0.2557065825826247,-1.7001366478080178,1.2190456998157282,T
Oc1ccc(c(c1)C(C)(C)C)O,-0.2310569996327311,-0.1315224289130697,-1.5024780383974454,1.040364039131983,T
ClCC[N+](C)(C)C.[Cl-],-0.22922378717496714,0.10193883123023993,-0.8982639748364292,0.43981640048649484,T
Clc1ccc(c(n1)C(=O)O)Cl,-0.20263015454584662,0.10720996964786836,-1.1671757075965674,0.7619153985048742,T
ClCC[N+](C)(C)C,-0.19465910077876766,-0.025387799890407722,-0.6853082939455358,0.29599009238800056,F
NCCNc1cccc2c1cccc2,-0.18913261284675176,0.37248052866231735,-1.3687860002011867,0.990520774507683,T
CCc1ccc(cc1)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,-0.1863680576235672,0.8640764377019816,-1.0980889730865098,0.7253528578393754,T
CON=C(c1ccccc1COc1ccccc1C)C(=O)OC,-0.18201642747729715,-0.07509896249967626,-1.6864677905241483,1.3224349355695542,F
Cc1cccc(c1O)C,-0.17432513673177882,1.3087946941073485,-1.3030402478505823,0.9543899743870246,T
CCCCCCCCCCCCC1=C(OC(=O)C)C(=O)c2c(C1=O)cccc2,-0.16783998700198743,1.6306542448653294,,,T
Nc1ccc(c(c1)N)O,-0.15117802567612149,0.6959836634792338,-1.3805205510260392,1.0781644996737962,T
CC=Cc1ccc(cc1)OC,-0.14694410579221662,-0.3657125618924928,-1.1541429788398383,0.860254767255405,T
COc1cc(OC)n2c(n1)nc(n2)S(=O)(=O)Nc1c(Cl)ccc(c1Cl)C,-0.14610474538263651,1.1443173332617613,-0.6756484830856935,0.38343899232042045,T
