SMILES,LOAEL_measured_median,LOAEL_predicted,Prediction_interval_low,Prediction_interval_high,Warnings
OCC(CCl)O,-1.2029392782396509,1.28425735093239,,,T
CCOC(=O)c1ccccc1C1=c2cc(C)c(cc2=[O]c2c1cc(C)c(c2)NCC)NCC,-0.9876433527571343,1.5677685143097857,-2.0044618431220407,0.029175137607772128,T
C=Cc1ccccc1,-0.9550898062018535,-0.43719545247852387,,,T
CCCCCCCCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-0.9009242211453298,-1.2234180569052944,-2.539540542616641,0.7376921003259814,T
CCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-0.8694405816073295,-1.2981322917796099,-2.3155070936049005,0.5766259303902413,T
CCOC(=O)c1ccccc1C(=O)OCC,-0.8351437279118696,-1.300073495267144,-1.8969011565346316,0.22661370071089237,F
CCOP(=S)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,-0.805185508371467,2.839351425563838,,,T
CCCOC(=O)c1ccc(cn1)C(=O)OCCC,-0.7940300908462917,0.00221620394895718,-2.315487578451832,0.7274273967592483,T
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.7679800080347042,-0.1774499209718248,-2.6858704388543635,1.1499104227849553,T
CCCCOCC(OCC(O)C)C,-0.5436257834865312,0.17218502835569832,-1.4917498236276547,0.40449825665459227,T
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.5350429189007196,-0.3335681749239878,-2.599290539177182,1.5292047013757424,T
CN1N(C)C(CC1c1ccccc1)c1ccccc1,-0.5123601234558565,0.3050966001866355,,,T
Oc1cccc2c1nccc2,-0.49586422399930036,0.00650645523101598,-1.0815066857991071,0.08977823780050637,T
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,-0.444391118239584,-0.8280021578068849,,,T
CCCOC(=O)c1cc(O)c(c(c1)O)O,-0.44366780146946017,-0.6097651056927426,-1.248173597068923,0.3608379941300026,T
CCCCCCCCCC[N+](CCCCCCCCCC)(C)C.[Cl-],-0.4410633616051415,0.7526160071097443,-1.1893284561260258,0.3072017329157428,F
COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC,-0.43319968376797446,0.4417235394286475,,,T
CC=Cc1ccc(cc1)OC,-0.43319968376797446,-0.3657125618924928,,,T
COC(=O)c1ccccc1C(=O)OC,-0.42960917694936174,-1.0128372247051722,-1.9104158800667603,1.0511975261680369,F
Oc1ccc(c(c1)C(C)(C)C)O,-0.42520604086657954,-0.1315224289130697,-1.750588831340849,0.9001767496076901,T
C[N]1(C)CCCCC1,-0.4161882224054012,-0.11839701195157529,-1.502740141668676,0.6703636968578737,F
Oc1ccc2c(c1N=Nc1ccccc1)ccc(c2)S(=O)(=O)O,-0.4003173576604856,0.26105304667829976,-1.0592234232551658,0.25858870793419453,T
O=C1OC(=O)c2c1cccc2,-0.3777254592324329,-0.9031171295488665,-1.6431068365398072,0.8876559180749415,T
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,-0.3686744511299661,-0.6072297750805989,-2.544629545958852,1.8072806436989195,T
CCCOC(=O)c1ccc(cc1)O,-0.3525765292913718,-0.9203372888854956,-1.7277743487646904,1.0226212901819467,T
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-0.329658871954117,0.29065370490612896,-2.2404311463702276,1.5811134024619933,T
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)c1ncccc1C(F)(F)F,-0.32081278123579055,1.4860902121726176,-1.0766632179146,0.4350376554430189,T
COC(=O)c1ccc(cc1)O,-0.2945283473840477,-0.9938284615355355,-1.6284806420273166,1.0394239472592213,F
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,-0.2836482874090046,0.08181233864107436,-0.9615257587721096,0.39422918395410034,T
