SMILES,-log10(LOAEL),Dataset
OCC(CO)O,-1.8735472827377653,mazzatorta
OCCO,-1.5081659713033675,mazzatorta
OC(=O)c1ccccc1N,-1.3023309286843994,mazzatorta
CCOC(=O)c1ccccc1C(=O)OCC,-1.300073495267144,mazzatorta
CCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-1.2981322917796099,mazzatorta
O=C1NS(=O)(=O)c2c1cccc2,-1.293649779215835,mazzatorta
[O-]S(=O)(=O)NC1CCCCC1.[Na+],-1.2528772925637603,mazzatorta
OCC(C1OC(=O)C(=C1O)O)O,-1.2386231053847003,mazzatorta
CCCCCCCCCCCCCCCCCC(=O)OCC(C1OCC(C1O)O)O,-1.2234180569052944,mazzatorta
OCCO,-1.207122497650964,mazzatorta
OCCO,-1.1709068089307477,mazzatorta
P12P3P1P23,-1.0748529958812472,mazzatorta
OC1C2C(N(C)C)C(=O)C(=C(O)N)C(=O)C2(O)C(=O)C2=C(O)c3c(C(C12)(C)O)c(Cl)ccc3O,-1.0215200641140327,mazzatorta
COC(=O)c1ccccc1C(=O)OC,-1.0128372247051722,mazzatorta
COC(=O)c1ccc(cc1)O,-0.9938284615355355,mazzatorta
OC(=O)C=CC(=O)O,-0.9690989294838307,mazzatorta
O=C1CCCCC1,-0.9671827907251261,mazzatorta
CCOC(=O)COC(=O)c1ccccc1C(=O)OCC,-0.9503599855766129,mazzatorta
OCC(C1OC(=O)C(=C1O)O)O,-0.9456310458740838,mazzatorta
CCCOC(=O)c1ccc(cc1)O,-0.9203372888854956,mazzatorta
O=C1OC(=O)c2c1cccc2,-0.9031171295488665,mazzatorta
COc1cc(c(cc1NN=C1C(=O)C=Cc2c1ccc(c2)S(=O)(=O)[O-])C)S(=O)(=O)[O-].[Na+].[Na+],-0.8769045453148221,mazzatorta
ClCC(=O)c1ccc(cc1)NC(=O)C,-0.8730472649380243,mazzatorta
OC(=O)CNCP(=O)(O)O,-0.8561425898722091,swiss
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,-0.8280021578068849,mazzatorta
OC(=O)c1ccc(cc1N)N(=O)=O,-0.8133274093241547,mazzatorta
OCCO,-0.8091959669673487,mazzatorta
NC(=O)c1cnccn1,-0.806776718728446,mazzatorta
NC(=S)NNC(=S)N,-0.7996024258846957,mazzatorta
Nc1ccc(cc1)O,-0.7983951029360405,mazzatorta
CCOc1ccc(cc1N)NC(=O)C,-0.7854010249923875,mazzatorta
OC(=O)CNCP(=O)(O)O,-0.7719253789441974,mazzatorta
Oc1ccccc1c1ccccc1,-0.7690226551851297,mazzatorta and swiss
OC(=O)CNCP(=O)(O)O,-0.745051357794347,swiss
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)c1ncccc1C(=O)N(C)C,-0.7065214948994436,swiss
CNC(=N[N](=O)[O])NCC1COCC1,-0.6902669794624975,swiss
Clc1cc(N)c(c(n1)C(=O)O)Cl,-0.6840010770259624,swiss
CC(OC(=O)Nc1cccc(c1)Cl)C,-0.6702736915717395,mazzatorta
C[N+]1(C)CCCCC1.[Cl-],-0.6599447086187201,swiss
S=c1sc2c([nH]1)cccc2,-0.6516946592276465,mazzatorta
O=c1ccc(=O)[nH][nH]1,-0.6494127520818966,mazzatorta
Oc1ccc(nn1)O,-0.6494127520818966,swiss
COc1ccc(cc1N=Nc1c(O)c(cc2c1cccc2)C(=O)Nc1cccc(c1)N(=O)=O)N(=O)=O,-0.6343160172184156,mazzatorta
CC(CCCC1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCCC(CCCC(C)C)C,-0.6264019650606861,mazzatorta
CCCOC(=O)c1cc(O)c(c(c1)O)O,-0.6097651056927426,mazzatorta
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,-0.6072297750805989,mazzatorta
OCCO,-0.6050786798589156,mazzatorta
COc1ccc(cc1)N,-0.5853366276411315,mazzatorta
CC(c1ccccc1)C,-0.584772080866149,mazzatorta
CCc1ccccc1,-0.5846816852406054,mazzatorta
C=Cc1ccccc1,-0.584399077579434,mazzatorta
CC1CCC(C(C1)O)C(C)C,-0.5791888919086445,mazzatorta
[O-]P(=O)OCC.[O-]P(=O)OCC.[O-]P(=O)OCC.[Al+3],-0.5664846315071651,swiss
Oc1ccccc1,-0.5629111450476486,mazzatorta
CCOP(=O)O,-0.5604685709801248,mazzatorta
CCCOC(=O)NCCCN(C)C,-0.557735717818272,mazzatorta
Cc1cnc2c(c1)ccc(c2C(=O)O)Cl,-0.5235904048292048,swiss
OC(=O)CNCP(=O)(O)O,-0.5201165528332334,swiss
Clc1cnc2c(c1)ccc(c2C(=O)O)Cl,-0.49516954484866715,mazzatorta
Oc1ccccc1c1ccccc1,-0.4941128329258674,swiss
ClCCP(=O)(O)O,-0.48948035185056615,mazzatorta
CCCOC(=O)NCCCN(C)C.Cl,-0.4821300753920296,swiss
CN(NC(=O)CCC(=O)O)C,-0.48205851709131187,swiss
CC(N(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)C(C)C)C,-0.47459501352264283,mazzatorta
CC(=C)C(=O)O,-0.4594980326196918,mazzatorta
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)c1n2ccccc2nc1S(=O)(=O)CC,-0.4402319362267889,swiss
CC(c1ccccc1)C,-0.43994816604556397,mazzatorta
CCc1ccccc1,-0.4379090355394984,mazzatorta
C=Cc1ccccc1,-0.43719545247852387,mazzatorta
C=O,-0.43632170013973326,mazzatorta
FC(Cl)(Cl)Cl,-0.4049362937526993,mazzatorta
COc1nn(c(=O)n1C)C(=O)NS(=O)(=O)c1ccccc1OC(F)(F)F,-0.40196888769519956,swiss
