GID,SMILES,MMOL
1,Clc1cc(Cl)ccc1C2(Cn3ncnc3)OC(CCC)CO2,4.1363658605
1,Clc1cc(Cl)ccc1C2(Cn3ncnc3)OC(CCC)CO2,3.5520346362
2,n(c(nc(n1)NCC)NCC)c1Cl,4.6056426085
2,n(c(nc(n1)NCC)NCC)c1Cl,4.5803367432
3,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.5408674395
3,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.7627161892
3,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.8596262022
3,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.5585962065
4,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),5.945200886
4,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),5.1493208687
4,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),5.0898836808
5,OC(=O)CNCP(O)(O)=O,2.2280744668
5,OC(=O)CNCP(O)(O)=O,2.7509532121
6,CN(=CC=C1C(C=C2)=CC=N2C)C=C1,4.6960719157
6,CN(=CC=C1C(C=C2)=CC=N2C)C=C1,4.863563003
7,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,2.7731389954
7,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,3.8700490084
7,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,3.7731389954
8,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,3.1315397529
8,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,3.5294797615
9,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,5.0027008868
9,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,3.7016708912
9,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,3.8266096278
10,O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1,4.5893807758
10,O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1,4.5716520089
11,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,4.254431783
11,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,4.14541138
12,CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl,3.5561954098
12,CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl,3.6216969586
13,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,6.8818515947
13,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,6.483911586
13,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,6.580821599
13,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,6.1828815903
14,COP(=O)(NC(=O)(C))SC,3.7187764874
14,COP(=O)(NC(=O)(C))SC,4.8649045231
15,ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,3.7443421847
15,ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,3.9204334438
16,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,4.9202137268
16,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,5.8410324807
17,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,2.6307548052
17,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,2.3297248095
18,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.8200148515
18,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.9626823551
19,CC(C)(C)c2ccc(OC1CCCCC1OS(=O)OCC#C)cc2,3.5446537482
19,CC(C)(C)c2ccc(OC1CCCCC1OS(=O)OCC#C)cc2,4.2659001473
20,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,4.2677414072
20,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,5.1708313942
21,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,2.9219953267
21,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,2.9278248704
22,Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n2cncc2,4.700894511
22,Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n2cncc2,4.8683855983
23,N(c(cccc1)c1)c(cccc2)c2,3.737096259
23,N(c(cccc1)c1)c(cccc2)c2,3.8305179441
24,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,4.0730062129
24,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,3.4497569225
25,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,5.3058633931
25,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,5.2515057308
26,CNC(=O)ON=C(C)SC,4.210077892
26,CNC(=O)ON=C(C)SC,3.9090478964
27,CCOP(=S)(OCC)SCSC(C)(C)C,6.7610713306
27,CCOP(=S)(OCC)SCSC(C)(C)C,5.1590113392
27,CCOP(=S)(OCC)SCSC(C)(C)C,6.6818900845
28,C(C=C1)(=N(C=C1)CC2)C(N2=C3)=CC=C3,5.5019490483
28,C(C=C1)(=N(C=C1)CC2)C(N2=C3)=CC=C3,5.5095021861
29,COP(=S)(OC)SCN2C(=O)c1ccccc1C2(=O),4.2004688747
29,COP(=S)(OC)SCN2C(=O)c1ccccc1C2(=O),4.5472563609
30,CN1C=C(c2ccccc2)C(=O)C(c3cc(C(F)(F)F)ccc3)=C1,4.1196725191
30,CN1C=C(c2ccccc2)C(=O)C(c3cc(C(F)(F)F)ccc3)=C1,4.0057291668
31,NC(CCCC1)C1,3.2292424895
31,NC(CCCC1)C1,3.2182471052
32,ClC(=CC=C1N)C=C1,4.3276025478
32,C1=CC(=CC=C1N)Cl,4.0088437852
33,O=N(=O)C(C(=C1N(=O)=O)N(C(C)C)C(C)C)=CC(=C1)S(=O)(=O)N,3.9729717982
33,O=N(=O)C(C(=C1N(=O)=O)N(C(C)C)C(C)C)=CC(=C1)S(=O)(=O)N,3.8863146153
34,c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2,4.2093971415
34,c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2,3.7727045439
35,c(cccc1)(c1)CC,2.415321201
35,c(cccc1)(c1)CC,2.5620883751
36,c1cc(Cl)ccc1C(C(#N))(CCCC)Cn2ncnc2,4.4675649152
36,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,4.4693339379
37,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)NC(=O)C)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,5.9542918328
37,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)NC(=O)C)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,5.5563518242
38,CCOP(=S)(OCC)SCCSCC,6.438390471
38,CCOP(=S)(OCC)SCCSCC,6.8363304797
38,CCOP(=S)(OCC)SCCSCC,6.0959677902
39,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,2.8106486626
39,C(F)(F)(F)c1ccccc1C(=O)Nc2cccc(OC(C)C)c2,3.5700994143
40,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,5.1794531173
40,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,5.5773931259
40,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,5.3835730999
40,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,5.2763631303
41,O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,4.600483075
41,O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,4.9984230837
42,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F,4.166076145
42,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F,4.1831094843
43,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,5.6565361117
