SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
ClC12C3C4(C(C1(Cl)Cl)(C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1.9566e-05,0.0014217916687719956,0.625
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,2.7404e-05,0.0001587477178668401,1
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013611,0.04039140999987793,1
Clc1ccc2c(c1)[n+]([O-])nc(n2)n1cncc1,0.00020191,0.08977793614314428,1
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647,0.04000084704078676,1
CCOP(=S)(SCSC(C)(C)C)OCC,0.00027736000000000004,0.009910722310745159,1
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.00028896749999999995,0.0005224234415371455,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.000295345,0.0005384644065654204,1
CCSCCSP(=S)(OCC)OCC,0.00036443,0.006233858540698859,1
CNC(=O)ON=CC(SC)(C)C,0.00052559,0.05805779146225434,1
COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,0.00058619,0.05832930214305769,1
CCSCSP(=S)(OCC)OCC,0.00061449,0.007716928799813758,1
OC1CCCCCc2cc(O)cc(c2C(=O)OC(CCC1)C)O,0.00062036,1.3799815501764376,1
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.000843785,0.00016700665525466173,1
c1ccc(cc1)[Sn](c1ccccc1)c1ccccc1,0.00085711,0.02752109983722906,1
CCOP(=O)(SC(CC)C)SC(CC)C,0.000872805,0.00247290260720047,1
CCS(=O)CCSP(=O)(OC)OC,0.00089328,0.0014369137370621636,0.29411764705882354
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.000939545,0.0007733528564531065,1
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,0.00094982,0.01619438260186883,1
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,0.0010183,0.05426226245421785,1
CNC(=O)CSP(=S)(OC)OC,0.0010905,0.004053552091012384,1
COP(=O)(SCCS(=O)(=O)CC)OC,0.0011438,0.001410024949111601,1
