SMILES,LOAEL,Dataset
ClC12C3C4(C(C1(Cl)Cl)(C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1.9566e-05,mazzatorta
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,2.7404e-05,mazzatorta
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,6.4215e-05,mazzatorta
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.00013126,mazzatorta
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013497,swiss
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013725,mazzatorta
CCSCCSP(=S)(OCC)OCC,0.00014577,mazzatorta
CCOP(=S)(SCSC(C)(C)C)OCC,0.00017335,mazzatorta
Clc1ccc2c(c1)[n+]([O-])nc(n2)n1cncc1,0.00020191,swiss
CCOP(=S)(SCSC(C)(C)C)OCC,0.00020802,mazzatorta
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.00026253,mazzatorta
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647,"mazzatorta, swiss"
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.00032816,mazzatorta
CCOP(=S)(SCSC(C)(C)C)OCC,0.0003467,swiss
CCSCCSP(=S)(OCC)OCC,0.00036443,mazzatorta
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.00051372,mazzatorta
CNC(=O)ON=CC(SC)(C)C,0.00052559,mazzatorta
COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,0.00058619,swiss
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.00061009,mazzatorta
CCSCSP(=S)(OCC)OCC,0.00061449,"mazzatorta, swiss"
OC1CCCCCc2cc(O)cc(c2C(=O)OC(CCC1)C)O,0.00062036,mazzatorta
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.00065632,mazzatorta
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.00065889,mazzatorta
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.00066967,mazzatorta
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,0.00070525,mazzatorta
COP(=O)(SC)N,0.00070857,mazzatorta
CSc1ccc(cc1C)OP(=S)(OC)OC,0.00071858,swiss
CCSCCSP(=S)(OCC)OCC,0.00080174,mazzatorta
CCOP(=O)(SC(CC)C)SC(CC)C,0.00082103,swiss
c1ccc(cc1)[Sn](c1ccccc1)c1ccccc1,0.00085711,mazzatorta
CNC(=O)CSP(=S)(OC)OC,0.00087238,swiss
CCS(=O)CCSP(=O)(OC)OC,0.00089328,swiss
CCOP(=O)(SC(CC)C)SC(CC)C,0.00092458,mazzatorta
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,0.00094982,mazzatorta
