SMILES,mazzatorta,swiss
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.0001372533562906347,0.00013496580117055152
CCOP(=S)(SCSC(C)(C)C)OCC,0.0002080223110862717,0.00034670385697674235
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647194701359843,0.0002764719511333511
CCSCSP(=S)(OCC)OCC,0.0006144925612602997,0.0006144925475253195
CCOP(=O)(SC(CC)C)SC(CC)C,0.0009245829520661433,0.0008210296720157477
COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,0.001659247904766673,0.08332310268057162
COP(=O)(SC)N,0.002054854991717517,0.0020548549325897737
CSc1ccc(cc1C)OP(=S)(OC)OC,0.0025868753585247565,0.0016527259802523342
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.003445751195813495,0.0033630532459809582
CCOP(=S)(Oc1ncn(n1)c1ccccc1)OCC,0.004149212048673449,0.004149211896481245
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.004713372383210075,0.0039030031199302137
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0.005201883810203027,0.004681695305160139
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.005274306112287868,0.0035601567181414275
CCOP(=S)(SCn1c(=O)oc2c1ccc(c2)Cl)OCC,0.0054376113486863924,0.0636200517424888
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,0.005601647965290344,0.005601648122412352
Fc1ccc(cc1)[Si](c1ccc(cc1)F)(Cn1cncn1)C,0.006341300659739408,0.023779877474022784
COC(=O)N(C(=O)N1COC2(C(=N1)c1ccc(cc1C2)Cl)C(=O)OC)c1ccc(cc1)OC(F)(F)F,0.006820319755914397,0.006820319575237628
Clc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.00694452873492003,0.00920904883059355
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.0070905370826580775,0.008508644649457775
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.007126617932723449,0.01228727229779905
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)C,0.007825509706097071,0.009886227162529472
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,0.009301369775521361,0.003100456591840454
CCOC(=O)C(Oc1ccc(cc1)Oc1cnc2c(n1)ccc(c2)Cl)C,0.009924832004782804,0.04157699893895499
CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C,0.010036375840596658,0.12545469800745823
COP(=O)(OC=C(Cl)Cl)OC,0.010068978612765365,0.010408382170442241
CCCSP(=O)(SCCC)OCC,0.011141416681473747,0.006065882533527741
CNC(=O)CSP(=S)(OC)OC,0.011450010084732691,0.000872381733741038
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,0.011992948803251567,0.01642869699075557
CC(Oc1cc(c(cc1Cl)Cl)n1nc(oc1=O)C(C)(C)C)C,0.01448347496337274,0.010428101697378017
N#Cc1c(Cl)cccc1Cl,0.014533918736325764,0.0186034162597095
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,0.015042627044387032,0.08141821878808377
ClCC1CN(C(=O)C1Cl)c1cccc(c1)C(F)(F)F,0.016019730669239306,0.05030195369030707
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.016160652565775233,0.01616065190994549
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,0.01672571818640967,0.05707983190600125
BrC1COC(C1)(Cn1cncn1)c1ccc(cc1Cl)Cl,0.017185416964361586,0.017185417014945824
OC(=O)C(CCP(=O)(O)C)N,0.019323475195614302,1.2637552440957067
CCN(C(=O)SCc1ccc(cc1)Cl)CC,0.019396419126203733,0.016680921188449865
OC(=O)COc1ccc(cc1C)Cl,0.019938294964743114,0.0947069010825298
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.022450559378137468,0.04835505096829608
CNC(=O)ON=C(C(=O)N(C)C)SC,0.02280382932847922,0.02072868120754643
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,0.02510595436954169,0.4023390123323988
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,0.026276896280264014,0.007293179580314936
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,0.026692119922880408,0.0068777238395693234
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,0.030365547751564796,0.005938151689011985
CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1,0.03318543029523152,0.08196801536106943
Clc1ccc(c(c1)Cl)C1(OCCO1)Cn1cncn1,0.03331771398901528,0.042646674541424644
