SMILES,LOAEL,Dataset
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.00013497,swiss
Clc1ccc2c(c1)[n+]([O-])nc(n2)n1cncc1,0.00020191,swiss
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647,swiss
CCOP(=S)(SCSC(C)(C)C)OCC,0.0003467,swiss
COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,0.00058619,swiss
CCSCSP(=S)(OCC)OCC,0.00061449,swiss
CSc1ccc(cc1C)OP(=S)(OC)OC,0.00071858,swiss
CCOP(=O)(SC(CC)C)SC(CC)C,0.00082103,swiss
CNC(=O)CSP(=S)(OC)OC,0.00087238,swiss
CCS(=O)CCSP(=O)(OC)OC,0.00089328,swiss
OC(=O)c1ccccc1.CCC(C1OC2(C=CC1C)OC1CC=C(C)C(OC3CC(OC)C(C(O3)C)OC3CC(OC)C(C(O3)C)NC)C(C)C=CC=C3C4(C(C(=O)OC(C2)C1)C=C(C)C(C4OC3)O)O)C,0.00099183,swiss
COP(=O)(SCCS(=O)(=O)CC)OC,0.0011438,swiss
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(CC)C)C)OC(C1OC1CC(OC)C(C(O1)C)O)C.COC1CC(OC(C1OC1CC(OC)C(C(O1)C)O)C)OC1C(C)C=CC=C2COC3C2(O)C(C=C(C3O)C)C(=O)OC2CC(CC=C1C)OC1(C2)C=CC(C(O1)C(C)C)C,0.0011546,swiss
O=C1CCCC(=O)C1C(=O)c1ccc(cc1Cl)S(=O)(=O)C,0.0012167,swiss
CCOP(=O)(N1CCSC1=O)SC(CC)C,0.0013411,swiss
O=C1CCCC(=O)C1C(=O)c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C,0.0014146,swiss
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.0015164,swiss
CCSCCSP(=O)(OC)OC,0.0015199,swiss
COC(=O)/C=C(/OP(=O)(OC)OC)\C,0.0015615,swiss
C1CCC(CC1)[Sn](n1ncnc1)(C1CCCCC1)C1CCCCC1,0.001811,swiss
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,0.0018996,swiss
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)[C@H](C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.0019884,swiss
COP(=O)(SC)N,0.0020549,swiss
CCCSP(=O)(SCCC)OCC,0.0020632,swiss
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,0.0020896,swiss
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.0021169,swiss
O=C1CCCC(=O)C1C(=O)c1ccc(c(c1Cl)COCC(F)(F)F)S(=O)(=O)C,0.0023819,swiss
OC(=O)c1ccccc1.CCC(C1OC2(C=CC1C)OC1CC=C(C)C(OC3CC(OC)C(C(O3)C)OC3CC(OC)C(C(O3)C)NC)C(C)C=CC=C3C4(C(C(=O)OC(C2)C1)C=C(C)C(C4OC3)O)O)C,0.0024796,swiss
CSc1ccc(cc1C)OP(=S)(OC)OC,0.0025869,swiss
O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,0.0025963,swiss
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,0.0028524,swiss
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,0.0031005,swiss
Fc1ccc(cc1)N(C(=O)COc1nnc(s1)C(F)(F)F)C(C)C,0.0033028,swiss
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.0033631,swiss
