InChI,XLogP,ALogp2,nAtomP,ALogP,nB,AMR,nAtom,MLogP,nRotB
"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",3.7260000705719,20.239200592041,2.0,4.4987998008728,25.0,83.1997985839844,21.0,1.35000002384186,0.0
"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",6.35799980163574,34.2224998474121,0.0,5.84999990463257,26.0,92.3588027954102,22.0,1.24000000953674,0.0
"InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2",1.76800000667572,2.24940013885498,12.0,-1.49979996681213,13.0,8.44419956207275,22.0,2.33999991416931,0.0
"InChI=1S/C10H10N4O3S/c1-6(2)12-13-10-11-7(5-18-10)8-3-4-9(17-8)14(15)16/h3-5H,1-2H3,(H,11,13)",3.02099990844727,0.0135256899520755,16.0,-0.116300001740456,19.0,33.0503005981445,28.0,1.67999994754791,4.0
"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",2.9300000667572,0.527076005935669,8.0,0.726000010967255,13.0,22.3738994598389,22.0,2.33999991416931,2.0
"InChI=1S/C10H10O3/c1-2-8(11)7-3-4-9-10(5-7)13-6-12-9/h2-5,8,11H,1,6H2",1.53299999237061,0.011214810423553,8.0,-0.105899997055531,14.0,23.5818004608154,23.0,2.23000001907349,2.0
"InChI=1S/C10H12N4O5/c15-6-5-12-3-4-13(10(12)16)11-7-8-1-2-9(19-8)14(17)18/h1-2,7,15H,3-6H2",0.437000006437302,1.62945222854614,14.0,-1.27649998664856,20.0,43.4118995666504,31.0,1.57000005245209,5.0
"InChI=1S/C10H12O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h4-6H,2-3,7H2,1H3",3.2960000038147,0.227529004216194,8.0,-0.476999998092651,13.0,21.1478004455566,24.0,2.33999991416931,2.0
"InChI=1S/C10H13N3O/c14-12-13-7-2-1-5-10(13)9-4-3-6-11-8-9/h3-4,6,8,10H,1-2,5,7H2",1.73399996757507,1.03347551822662,6.0,-1.01660001277924,15.0,25.5020008087158,27.0,2.11999988555908,2.0
"InChI=1S/C10H13N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8H,3,5,7H2,1H3",0.605000019073486,0.267185598611832,8.0,-0.51690000295639,15.0,31.8728008270264,28.0,2.00999999046326,6.0
"InChI=1S/C10H13N5O3S/c11-10-13-8-7(9(19)14-10)12-3-15(8)6-1-4(17)5(2-16)18-6/h3-6,16-17H,1-2H2,(H3,11,13,14,19)",-0.122000001370907,1.28323578834534,4.0,-1.1327999830246,21.0,50.312198638916,34.0,1.57000005245209,2.0
"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",2.60800004005432,0.0161036103963852,10.0,0.126900002360344,13.0,25.5104007720947,26.0,2.23000001907349,3.0
"InChI=1S/C10H14N2O2/c1-8(12(2)11-14)10(13)9-6-4-3-5-7-9/h3-8,10,13H,1-2H3",2.4210000038147,0.271753698587418,6.0,-0.52130001783371,14.0,29.6128997802734,28.0,2.11999988555908,4.0
"InChI=1S/C10H14N2O4S/c1-9-3-5-10(6-4-9)17(14,15)16-8-7-12(2)11-13/h3-6H,7-8H2,1-2H3",1.03199994564056,0.0680688098073006,10.0,0.260899990797043,17.0,39.2720985412598,31.0,1.78999996185303,6.0
"InChI=1S/C10H15N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8,10,14H,3,5,7H2,1H3",0.648000001907349,1.18069958686829,6.0,-1.08659994602203,15.0,30.8516998291016,30.0,2.00999999046326,6.0
"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",3.72900009155273,4.58987760543823,2.0,2.14240002632141,10.0,46.0152015686035,26.0,2.55999994277954,1.0
"InChI=1S/C10H22N2O/c1-3-5-7-9-12(11-13)10-8-6-4-2/h3-10H2,1-2H3",3.56299996376038,2.94465589523315,3.0,-1.71599996089935,12.0,47.3484992980957,35.0,2.23000001907349,9.0
