"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"O=P(OCC)(SC(C)CC)SC(C)CC",0.261999994516373
"CCSCSP(OCC)(OCC)=S",0.340000003576279
"O=P(OC)(OC)SCCSCC",0.349999994039536
"CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O",0.400000005960464
"[O-][N+]2=NC(N3C=CN=C3)=NC1=CC=C(Cl)C=C12",0.409999996423721
"O=P(OCC)(OCC)O/C(C1=CC=C(Cl)C=C1Cl)=C/Cl",0.500000000000000
"O=P(OC)(OC)O/C(C)=C/C(OC)=O",0.500000000000000
"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]",0.500000000000000
"CS(C(C=C2Cl)=CC=C2C(C(C(CCC1)=O)C1=O)=O)(=O)=O",0.500000000000000
"CCS(CCSP(OC)(OC)=O)(=O)=O",0.550000011920929
"ClC1=CC=C2C(N=CC(OC3=CC=C(OC(C)C(OCCO/N=C(C)/C)=O)C=C3)=N2)=C1",0.600000023841858
"CS(C(C=C2Cl)=CC=C2C(C(C(CCC1)=O)C1=O)=O)(=O)=O",0.600000023841858
"O=P(OCC)(OC1=CC=C(SC)C(C)=C1)NC(C)C",0.639999985694885
"CC(SC)(C)/C=N/OC(NC)=O",0.800000011920929
"O=P(SC)(OC)N",0.899999976158142
"O=C(C(C(C)=N2)=CN1C2=CC(OP(OCC)(OCC)=S)=N1)OCC",0.899999976158142
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",1.000000000000000
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",1.000000000000000
"S=P(OC)(OC)SCC(NC)=O",1.000000000000000
"CC(C(O)=O)OC2=CC=C(C=C2)OC1=C(Cl)C=C(C(F)(F)F)C=N1",1.000000000000000
"CC(C(O)=O)OC2=CC=C(C=C2)OC1=C(Cl)C=C(C(F)(F)F)C=N1",1.000000000000000
"S=P(OC)(OC)OC1=CC(C)=C(SC)C=C1",1.159999966621400
"S=P(OC)(OC)SCC(NC)=O",1.200000047683720
"S=P(OCC)(OCC)SCSP(OCC)(OCC)=S",1.250000000000000
"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]",1.250000000000000
"S=P(OC)(OC)SCN1N=NC(C=CC=C2)=C2C1=O",1.500000000000000
"O=P(SC)(OC)N",1.600000023841860
"CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O",1.799999952316280
"OC(C2(CC2)C(NC1=C(Cl)C=C(Cl)C=C1)=O)=O",2.000000000000000
"S=P(OC)(OC)SCN1C(SC(OC)=N1)=O",2.079999923706050
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",2.099999904632570
"OC(C1=CC=C(Cl)C=C1)(C2=CC=C(Cl)C=C2)C(Cl)(Cl)Cl",2.200000047683720
"FC(F)(F)C(C(F)(F)F)OC(/C=C\C1C(C)(C)C1C(OC(C#N)C2=CC=C(OC3=CC=CC=C3)C=C2)=O)=O",2.500000000000000
"OC(C2=C(Cl)C=CC=C2)(C3=CN=CN=C3)C1=CC=C(Cl)C=C1",2.500000000000000
"S=P(OC)(OC)OC1=CC=C([N+]([O-])=O)C=C1",2.500000000000000
"CS(C1=CC(C(F)(F)F)=CC=C1C(C2=C(O)N(C)N=C2C)=O)(=O)=O",2.500000000000000
"ClC(C=C(C=C1Cl)C(F)(F)F)=C1N2N=C(C(S(C(F)(F)F)=O)=C2N)C#N",2.529999971389770
"S=P(OC)(OC)OC1=CC(C)=C([N+]([O-])=O)C=C1",2.700000047683720
"S=C(SSC(N(C)C)=S)N(C)C",2.900000095367430
"CN(CN1C)CSC1=S",2.950000047683720
"O=C(NC)OC1=C(OC(C)(C)C2)C2=CC=C1",3.000000000000000
"S=P(OC)(OC)OC1=NC(N(CC)CC)=NC(C)=C1",3.000000000000000
"CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)C)C",3.000000000000000
"O=C(OC(C#N)C3=CC(OC4=CC=CC=C4)=C(F)C=C3)C(C(C)2C)C2/C=C(Cl)/C1=CC=C(Cl)C=C1",3.599999904632570
"FC(C(F)(OCC(C2=CC=C(C=C2Cl)Cl)CN1C=NC=N1)F)F",3.599999904632570
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",3.900000095367430
"ClC1=CC=C(C2=NN(C(N(C(OC)=O)C4=CC=C(OC(F)(F)F)C=C4)=O)COC(C(OC)=O)2C3)C3=C1",4.000000000000000
"CC1=C(C2=NOCC2)C(S(C)(=O)=O)=CC=C1C(C3=C(O)N(C)N=C3)=O",4.000000000000000
"O=C(OC(C)1C=C)N(C2=CC(Cl)=CC(Cl)=C2)C1=O",4.000000000000000
"COC(/C(C)=C/OP(OC)(OC)=S)=O",4.099999904632570
"S=P(OC)(OC)SCN1C(C(C=CC=C2)=C2C1=O)=O",4.199999809265140
"CNC(ON=C(SC)C(N(C)C)=O)=O",4.219999790191650
"CC(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(OC)=O",4.300000190734860
"BrC1=CC=C(NC(N(C)OC)=O)C=C1",4.530000209808350
"N#CC(C2=CC(OC3=CC=CC=C3)=CC=C2)OC(C(C(C)C)C1=CC=C(Cl)C=C1)=O",4.699999809265140
"CCS(=O)C1=C(N(N=C1C#N)C2=C(C=C(C=C2Cl)C(F)(F)F)Cl)N",4.769999980926510
"CCOC(CCN(C(C)C)SN(C)C(OC1=CC=CC2=C1OC(C)(C)C2)=O)=O",4.800000190734860
"CNC(ON=C(SC)C(N(C)C)=O)=O",4.900000095367430
