"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"[O-][N+]2=NC(N3C=CN=C3)=NC1=CC=C(Cl)C=C12",0.050000000745058
"ClC(C=C(C=C1Cl)C(F)(F)F)=C1N2N=C(C(S(C(F)(F)F)=O)=C2N)C#N",0.059000000357628
"CC(C(O)=O)OC2=CC=C(C=C2)OC1=C(Cl)C=C(C(F)(F)F)C=N1",0.100000001490116
"S=P(OCC)(OCC)SCSC(C)(C)C",0.100000001490116
"CCSCSP(OCC)(OCC)=S",0.159999996423721
"CC(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(OC)=O",0.200000002980232
"S=P(OC)(OC)SCC(NC)=O",0.200000002980232
"S=P(OC)(OC)OC1=CC(C)=C(SC)C=C1",0.200000002980232
"O=P(OC)(OC)SCCS(CC)=O",0.219999998807907
"O=P(OCC)(SC(C)CC)SC(C)CC",0.222000002861023
"O=P(SC)(OC)N",0.289999991655350
"CCS(CCSP(OC)(OC)=O)(=O)=O",0.300000011920929
"O=P(OC)(OC)SCCSCC",0.349999994039536
"O=P(OC)(OC)O/C(C)=C/C(OC)=O",0.349999994039536
"O=C1N(P(OCC)(SC(C)CC)=O)CCS1",0.379999995231628
"CS(C(C=C2Cl)=CC=C2C(C(C(CCC1)=O)C1=O)=O)(=O)=O",0.400000005960464
"O=P(OCC)(OC1=CC=C(SC)C(C)=C1)NC(C)C",0.460000008344650
"O=C(C2=CC=C(S(=O)(C)=O)C=C2[N+]([O-])=O)C1C(CCCC1=O)=O",0.479999989271164
"O=P(SCCC)(OCC)SCCC",0.500000000000000
"S=P(OC)(OC)OC1=CC=C([N+]([O-])=O)C=C1",0.500000000000000
"S=P(OC)(OC)OC1=CC=C([N+]([O-])=O)C=C1",0.550000011920929
"S=P(OC)(OC)SCN1C(SC(OC)=N1)=O",0.639999985694885
"S=P(OC)(OC)OC1=CC(C)=C(SC)C=C1",0.720000028610229
"N4(N=CN=C4)[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",0.790000021457672
"CC2(C)OC1=CC=CC(OC(NC)=O)=C1O2",0.800000011920929
"O=[N+]([O-])C(Cl)(Cl)Cl",1.000000000000000
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",1.000000000000000
"ClC1=CC(Cl)=C(OP(OC)(OC)=S)N=C1Cl",1.000000000000000
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",1.000000000000000
"CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O",1.000000000000000
"FC(F)(F)C1=CC=C(N[C@@H]([C@H](C)C)C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O)C(Cl)=C1",1.000000000000000
"O=C(O)COC1=NC(Cl)=C(Cl)C=C1Cl",1.000000000000000
"O=C(CCC1)C(C(C2=CC=C(S(=O)(C)=O)C(COCC(F)(F)F)=C2Cl)=O)C1=O",1.049999952316280
"C(C(CCl)O)O",1.100000023841860
"O=C(NC)OC1=C(OC(C)(C)C2)C2=CC=C1",1.169999957084660
"FC(F)(F)C(S2)=NN=C2OCC(N(C(C)C)C1=CC=C(F)C=C1)=O",1.200000047683720
"S=P(OCC)(OCC)OC(C=C2)=CC1=C2C(C)=C(Cl)C(O1)=O",1.220000028610230
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",1.240000009536740
"CCOP(OC2=NN(C=N2)C1=CC=CC=C1)(OCC)=S",1.299999952316280
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",1.389999985694890
"O=P(OCC)(OCC)O/C(C1=CC=C(Cl)C=C1Cl)=C/Cl",1.500000000000000
"CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)C)C",1.500000000000000
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",1.590000033378600
"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]",1.600000023841860
"O=C(N(C)C)NC1=CC(Cl)=C(Cl)C=C1",1.700000047683720
"O=P(OCC)(OC1=CC=C(SC)C(C)=C1)NC(C)C",1.700000047683720
"CC(CC2=CC=C(C(C)(C)C)C=C2)CN1CC(OC(C1)C)C",1.700000047683720
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",1.700000047683720
"S=P(OC)(OC)SCN1C(SC(OC)=N1)=O",1.720000028610230
"S=P(OCC)(OCC)SCSP(OCC)(OCC)=S",1.799999952316280
"S=P(OC)(OC)SCN1C(C(C=CC=C2)=C2C1=O)=O",1.799999952316280
